step,Schneider,Ichinose
0,0.1084790971,0.1090043911
1,0.1096122442,0.1118685586
2,0.1114947743,0.1127612861
3,0.1141901945,0.1130289229
4,0.1143897881,0.1133083539
5,0.1153550951,0.1134907098
6,0.1164437872,0.1143589418
7,0.1174635288,0.114784439
8,0.1197098636,0.1163394542
9,0.120371244,0.1162206053
10,0.1207994629,0.1161761504
11,0.1210798011,0.1176114095
12,0.1211596386,0.1194159167
13,0.1211478444,0.1198885905
14,0.1221213166,0.1225731238
15,0.1214935041,0.122544092
16,0.1249002032,0.1229169691
17,0.1269551096,0.1240056612
18,0.1288621353,0.1227709029
19,0.1292840035,0.1231229133
20,0.1289546741,0.1235701844
21,0.1292631369,0.1227500363
22,0.1284203077,0.1237942735
23,0.1284774641,0.1219970242
24,0.1311248004,0.1229405574
25,0.1310132095,0.1230984178
26,0.1319712585,0.1223372405
27,0.1323786108,0.1231083974
28,0.1312309479,0.1237933662
29,0.1318841632,0.1250108869
30,0.1332658949,0.1290943896
31,0.1350223182,0.1285582087
32,0.134213057,0.129662324
33,0.1339472347,0.1308553491
34,0.1338900784,0.1307991
35,0.1341277762,0.1324638917
36,0.134835426,0.1359114168
37,0.134499746,0.1349442953
38,0.1349715126,0.1398016766
39,0.1354196908,0.1390776963
40,0.134294709,0.1387211497
41,0.1342466251,0.138908949
42,0.1337149804,0.1393680142
43,0.1333620627,0.1385905066
44,0.1332332341,0.1386041153
45,0.133419219,0.1396347438
46,0.1329211424,0.14009018
47,0.1329211424,0.1398751633
48,0.1343228335,0.1402807011
49,0.1348662723,0.1399513718
50,0.1348190957,0.1402571128
51,0.1340597329,0.1397789955
52,0.1333620627,0.1410464146
53,0.1351066918,0.1403868486
54,0.1339245536,0.1398062128
55,0.1350068951,0.1412033677
56,0.1342003556,0.141089055
57,0.1342312019,0.1418411598
58,0.1379899115,0.1418665626
59,0.135636522,0.1420008347
60,0.1355566846,0.1436347801
61,0.1375444549,0.1430251125
62,0.1372296415,0.1433889171
63,0.136497496,0.1436329656
64,0.1387737698,0.1441655175
65,0.1374101829,0.1446935332
66,0.1386794165,0.1445710553
67,0.1374791334,0.1445129917
68,0.138908949,0.1464544927
69,0.1395648861,0.1462793947
70,0.1394278923,0.146824648
71,0.1391294092,0.1484023443
72,0.139505008,0.1476094136
73,0.1394333358,0.148583793
74,0.1382058354,0.1487235085
75,0.1405283786,0.1487597982
76,0.1408141603,0.1489575773
77,0.1407325083,0.1484613151
78,0.140820511,0.1478443896
79,0.1402924953,0.1472973218
80,0.14039955,0.1472927856
81,0.1398624619,0.1469226303
82,0.1412904631,0.1472773625
83,0.1405193061,0.1467475323
84,0.1408849252,0.1452487661
85,0.1416125345,0.145546342
86,0.1413176804,0.1458874655
87,0.1428980984,0.1456125708
88,0.1423782479,0.1461324213
89,0.1420788576,0.1468264625
90,0.1422820801,0.1463519742
91,0.1428209827,0.1475313906
92,0.1421732109,0.146269415
93,0.1430287415,0.1469271665
94,0.1434315576,0.1451208448
95,0.1427257222,0.1448014951
96,0.1441954565,0.1462131659
97,0.1441147119,0.1455218464
98,0.1436266149,0.1452750762
99,0.1435993976,0.1447053273
100,0.1432927493,0.1445075483
