q,original,greedy,onion,new 100 swaps,new 1000 swaps
0.01,0.99,0.99,0.9899,0.989852,0.9899
0.02,0.978748,0.9796,0.979,0.979086,0.978597
0.03,0.966948,0.968545,0.9682,0.966843,0.966911
0.04,0.954325,0.95696,0.956111,0.955453,0.95524
0.05,0.940915,0.945034,0.944042,0.943598,0.942789
0.06,0.927439,0.933095,0.930196,0.931001,0.931088
0.07,0.913296,0.920799,0.916484,0.917531,0.919169
0.08,0.898889,0.908924,0.902801,0.904929,0.907911
0.09,0.88317,0.896149,0.88918,0.892074,0.896709
0.1,0.867485,0.882555,0.87612,0.878248,0.885998
0.11,0.849888,0.868447,0.862209,0.863628,0.874972
0.12,0.831353,0.854442,0.847945,0.848982,0.863713
0.13,0.810215,0.839576,0.833901,0.832938,0.851993
0.14,0.787097,0.823653,0.819877,0.816008,0.840147
0.15,0.763214,0.806955,0.80401,0.797483,0.828084
0.16,0.735442,0.788854,0.786869,0.778812,0.815263
0.17,0.706008,0.769313,0.768292,0.756804,0.801761
0.18,0.673041,0.74784,0.746778,0.731058,0.787028
0.19,0.632722,0.724356,0.720242,0.702353,0.769475
0.2,0.581778,0.698503,0.689589,0.670072,0.750231
0.21,0.528165,0.667877,0.656036,0.634004,0.72802
0.22,0.470093,0.63498,0.615851,0.594926,0.70395
0.23,0.411603,0.598787,0.571041,0.549561,0.67686
0.24,0.351237,0.558274,0.525187,0.499954,0.645254
0.25,0.295107,0.511922,0.478437,0.444864,0.608653
0.26,0.244944,0.462343,0.432395,0.389582,0.567307
0.27,0.205574,0.409968,0.387183,0.337595,0.523129
0.28,0.172571,0.35748,0.343373,0.289158,0.477984
0.29,0.145413,0.306247,0.300714,0.245394,0.432248
0.3,0.122607,0.257667,0.260379,0.206222,0.384378
0.31,0.103616,0.214544,0.22312,0.171739,0.337858
0.32,0.088738,0.177798,0.189189,0.143027,0.29307
0.33,0.076498,0.146865,0.159081,0.119195,0.252217
0.34,0.067236,0.121818,0.133943,0.100786,0.215384
0.35,0.060509,0.101243,0.113922,0.086755,0.182836
0.36,0.054631,0.086108,0.097209,0.075575,0.154271
0.37,0.049617,0.074017,0.08382,0.067105,0.130137
0.38,0.045297,0.064451,0.073106,0.060333,0.110652
0.39,0.041359,0.057101,0.06481,0.055166,0.094413
0.4,0.037465,0.051258,0.05862,0.050364,0.081898
0.41,0.033619,0.046234,0.05339,0.04611,0.072219
0.42,0.030523,0.041655,0.048414,0.042085,0.064658
0.43,0.02777,0.037327,0.043847,0.038363,0.058385
0.44,0.025457,0.033214,0.040022,0.035025,0.052993
0.45,0.023541,0.029614,0.03654,0.031583,0.047981
0.46,0.022084,0.026783,0.033259,0.028319,0.043542
0.47,0.021061,0.024321,0.03035,0.025782,0.039517
0.48,0.020428,0.022493,0.027769,0.023814,0.035737
0.49,0.02001,0.021247,0.025574,0.02226,0.032107
0.5,0.019493,0.020407,0.023777,0.021126,0.029009
0.51,0.018616,0.019646,0.022289,0.020272,0.026399
0.52,0.01695,0.018712,0.021168,0.019555,0.024149
0.53,0.014565,0.017154,0.020268,0.018753,0.022385
0.54,0.012,0.014941,0.019219,0.017734,0.021192
0.55,0.009248,0.012354,0.017845,0.016221,0.020437
0.56,0.006268,0.00969,0.01612,0.014028,0.019922
0.57,0.003683,0.0074,0.01416,0.011384,0.019347
0.58,0.001947,0.005288,0.012184,0.008732,0.01835
0.59,0.000926,0.003287,0.010201,0.00634,0.016698
0.6,0.000394,0.001754,0.008182,0.00421,0.014379
0.61,0.000149,0.000792,0.006163,0.002419,0.01156
0.62,0.000057,0.000304,0.004226,0.001109,0.00862
0.63,0.000017,0.000104,0.002615,0.000375,0.005822
0.64,0.000002,0.000028,0.00146,0.000112,0.003482
0.65,0,0.000004,0.000667,0.000025,0.001804
0.66,0,0,0.000224,0.000002,0.000735
0.67,0,0,0.000057,0,0.000238
0.68,0,0,0.000014,0,0.000076
0.69,0,0,0.000003,0,0.000026
0.7,0,0,0,0,0.00001
0.71,0,0,0,0,0.000002
0.72,0,0,0,0,0
0.73,0,0,0,0,0
0.74,0,0,0,0,0
0.75,0,0,0,0,0
0.76,0,0,0,0,0
0.77,0,0,0,0,0
0.78,0,0,0,0,0
0.79,0,0,0,0,0
0.8,0,0,0,0,0
0.81,0,0,0,0,0
0.82,0,0,0,0,0
0.83,0,0,0,0,0
0.84,0,0,0,0,0
0.85,0,0,0,0,0
0.86,0,0,0,0,0
0.87,0,0,0,0,0
0.88,0,0,0,0,0
0.89,0,0,0,0,0
0.9,0,0,0,0,0
0.91,0,0,0,0,0
0.92,0,0,0,0,0
0.93,0,0,0,0,0
0.94,0,0,0,0,0
0.95,0,0,0,0,0
0.96,0,0,0,0,0
0.97,0,0,0,0,0
0.98,0,0,0,0,0
0.99,0,0,0,0,0
