t,greedy,new,new greedy ver.,tabu
0,0.1089678291,0.1089211061,0.1090569205,0.1090003992
1,0.1096400058,0.1093694658,0.1098987516,0.112194894
2,0.1106964908,0.1097899731,0.1107731529,0.1140617288
3,0.1118338111,0.1099363115,0.1120099071,0.1164069531
4,0.113078912,0.1103129083,0.112775802,0.1183735847
5,0.1135234613,0.1104443678,0.1136010306,0.1190750653
6,0.1142980658,0.1105800915,0.1143453331,0.1211344172
7,0.1150916316,0.1111396792,0.1153244303,0.1214788975
8,0.115967938,0.1116365764,0.1156890514,0.121998748
9,0.1161656264,0.111933245,0.1165107418,0.123058862
10,0.1171426368,0.1120828495,0.1166667876,0.1243062309
11,0.1173586515,0.1122375345,0.1172420707,0.1242385506
12,0.1174758673,0.1121525258,0.1174339527,0.1261981964
13,0.1181694549,0.1126925171,0.1181026818,0.1266218791
14,0.1187824793,0.1129178763,0.1189761758,0.1272201154
15,0.1196579692,0.1131548483,0.1192434497,0.1271937146
16,0.1200096168,0.1131654631,0.1201255625,0.1287275004
17,0.1204680469,0.1134891675,0.1205034294,0.1296998839
18,0.1207589999,0.113519288,0.1210458702,0.1299985484
19,0.1211181775,0.1139438779,0.1223550225,0.130532189
20,0.1211517455,0.1143857055,0.1225003629,0.1316515459
21,0.1219020359,0.1145231529,0.1229045398,0.1326549572
22,0.1225553418,0.114919709,0.1227994811,0.1325470859
23,0.1224904739,0.1152257222,0.1234745609,0.1330312818
24,0.1234750145,0.1152415082,0.1240022137,0.1339386159
25,0.1237972674,0.1152141094,0.1247283713,0.1351276492
26,0.1244335172,0.1152928582,0.1248989331,0.1355726521
27,0.1249652526,0.1154371099,0.1252063072,0.1360276346
28,0.1247953259,0.1158785745,0.1257824067,0.1369355131
29,0.1247975033,0.1161942045,0.126890151,0.136898044
30,0.1248158296,0.1156357962,0.1275364712,0.1375935368
31,0.1253424844,0.1159787342,0.1287519052,0.1379300334
32,0.1256162905,0.116049227,0.1291967267,0.1387112607
33,0.1262116236,0.116132512,0.1291205182,0.1385060422
34,0.1267385506,0.1163484359,0.1296105204,0.1391900131
35,0.1273450428,0.1163147772,0.1301885252,0.1392492561
36,0.1275544346,0.116595569,0.130065503,0.1389663776
37,0.1278550951,0.1171904485,0.1303375853,0.1391897409
38,0.1281210989,0.1171049862,0.1317818261,0.1396967085
39,0.1282395848,0.1171294818,0.1319203622,0.1403187146
40,0.1283179707,0.1171919001,0.1324024713,0.140646048
41,0.128783568,0.1178958303,0.1326495137,0.1405393562
42,0.1287225105,0.1178188053,0.132395667,0.1405980549
43,0.1288337386,0.1178405792,0.1328241581,0.141106837
44,0.1290559225,0.1179970787,0.1331615619,0.1410287233
45,0.1291409312,0.117684624,0.133073015,0.1413071563
46,0.1292615038,0.1177867796,0.1337210589,0.141722946
47,0.1294247169,0.1177756206,0.1339874256,0.1417605966
48,0.1298562019,0.1187055451,0.1338742016,0.1415883111
49,0.1299228843,0.1188378212,0.133579529,0.142913703
50,0.1302515786,0.118667078,0.1337393853,0.1429968065
51,0.1301741907,0.1186647191,0.133686493,0.1431319858
52,0.1304127958,0.1189255516,0.1343695565,0.1426534149
53,0.130598327,0.1188228516,0.1346085245,0.1433988061
54,0.130806993,0.1189911453,0.1352424154,0.1435116672
55,0.1309502468,0.1188380933,0.1352490383,0.1436794165
56,0.1311034802,0.1190209029,0.1362189723,0.1436753339
57,0.1306547576,0.119264407,0.1368548592,0.1440686239
58,0.1312424699,0.119195638,0.1374702424,0.1442327442
59,0.131203277,0.119307864,0.1376706525,0.1443176622
60,0.1313758347,0.1195164393,0.1377961243,0.144920344
61,0.1321691283,0.119365111,0.1381943134,0.1449568152
62,0.1321343809,0.1196056213,0.138564378,0.1460036834
63,0.1319941211,0.1194800588,0.1384164973,0.1464739984
64,0.1322797213,0.1198449521,0.1380447997,0.1466339454
65,0.1321812854,0.1199528233,0.1385392474,0.1466232399
66,0.1324688816,0.1202309842,0.1386121897,0.1470257839
67,0.1326001597,0.1203131804,0.1387400203,0.1472321817
68,0.1328567281,0.1201639389,0.1393129445,0.1469369647
69,0.1328315975,0.1201481529,0.1393614821,0.1469988387
70,0.1328494702,0.1203711533,0.1391577152,0.1474514625
71,0.1330891639,0.1207096458,0.1395618921,0.1476055124
72,0.1331372478,0.1208993504,0.1400223182,0.1480525113
73,0.1335452352,0.1211099216,0.1404293983,0.1477887756
74,0.1338012593,0.121042967,0.1403808608,0.1482003012
75,0.1338548773,0.1209354587,0.1410250036,0.1491023733
76,0.1338219444,0.121459664,0.1409746516,0.1491685114
77,0.1337244157,0.1213012593,0.1412761286,0.1493117651
78,0.1340544709,0.1215131913,0.1418358071,0.1495795834
79,0.1338423574,0.121893417,0.1417747496,0.1495097257
80,0.1343583067,0.1220108143,0.141656808,0.1498803346
81,0.134391784,0.1217400022,0.1420917405,0.1496961642
82,0.1346568805,0.1217389135,0.1421522536,0.1497680179
83,0.1346420017,0.1217654957,0.1424579946,0.150060876
84,0.1348097511,0.1215304289,0.1426541407,0.1501417114
85,0.1344699884,0.1217262121,0.1424499202,0.150095442
86,0.1348563834,0.1220822144,0.1427411453,0.150662197
87,0.1345965488,0.1217234903,0.1432504718,0.1504965343
88,0.1349382167,0.1218518653,0.1430740129,0.1506042241
89,0.1351209355,0.122162324,0.1437115329,0.1509586841
90,0.1351938779,0.1221257621,0.1438935259,0.1507177203
91,0.1356058572,0.1222762738,0.1441323124,0.1509872623
92,0.1357632639,0.1222667477,0.1440801459,0.1512309479
93,0.1357239803,0.1223283495,0.1442080672,0.1509058826
94,0.1354180578,0.1224537306,0.1442757476,0.1509802765
95,0.1357462077,0.1229392873,0.1446210444,0.1512786689
96,0.1358088982,0.1225546161,0.1445684243,0.1512339418
97,0.1360417876,0.122525675,0.1448903143,0.151631133
98,0.1365607309,0.1227552076,0.1454460916,0.1513187691
99,0.1364753593,0.1227532116,0.1458617905,0.1510534911
100,0.1364324467,0.1230715634,0.1458764879,0.1515844099
101,0.1366096313,0.1236220787,0.1461547394,0.1518102228
102,0.1365421324,0.1239221948,0.1463059769,0.15195266
103,0.1364951372,0.123801985,0.1464926876,0.1519835063
104,0.1366966359,0.1239504101,0.1465908514,0.1517489839
105,0.1372854369,0.1240391385,0.1464489585,0.1521512556
106,0.1375180541,0.1240619103,0.1466561729,0.1518567644
107,0.1377549354,0.1244489403,0.1465489367,0.151860847
108,0.137734341,0.1247094099,0.1465634526,0.1520530919
109,0.1378512847,0.1247438852,0.1467702134,0.1522505081
110,0.1376232944,0.1250315721,0.1467009907,0.1521296632
111,0.1378375853,0.1251367216,0.1469841414,0.1521583321
112,0.1381139316,0.1253421215,0.1472201154,0.1526013391
113,0.1380036108,0.1255576825,0.1474561801,0.153056866
114,0.1377650965,0.1255962404,0.1474932864,0.1527339781
115,0.1376170344,0.1258532624,0.1475043548,0.1529704057
116,0.1382624474,0.1257432138,0.1481588402,0.1532737879
117,0.1382961968,0.1257172667,0.1477388772,0.1534350958
118,0.1379281282,0.1259162251,0.14817009,0.1537292241
119,0.1379914538,0.126238478,0.1485917767,0.1531344353
120,0.1386059297,0.12648171,0.1479194186,0.1537545362
121,0.1379560713,0.1267630462,0.1480679344,0.1540854079
122,0.1380076934,0.1266361228,0.148278687,0.1541207904
123,0.1381602918,0.1267019887,0.1486512919,0.1545572652
