Tabu Search,Greedy Algorithm
0.156460,0.156168
0.160964,0.160832
0.165240,0.165176
0.169480,0.168628
0.172860,0.171980
0.175496,0.174680
0.177980,0.177900
0.180452,0.180516
0.182756,0.183028
0.184888,0.184820
0.186780,0.187076
0.188836,0.188940
0.190640,0.190848
0.192296,0.192208
0.193884,0.193760
0.195456,0.195192
0.197076,0.196740
0.198300,0.197932
0.199680,0.199180
0.201312,0.200552
0.202316,0.201876
0.203908,0.203088
0.204996,0.204440
0.206288,0.205556
0.207344,0.206716
0.208648,0.207748
0.209792,0.208516
0.210560,0.209504
0.211608,0.210260
0.212444,0.210904
0.213368,0.211508
0.214264,0.212268
0.214948,0.213184
0.215636,0.213736
0.216452,0.214544
0.217128,0.215368
0.217888,0.216140
0.218652,0.216608
0.219468,0.217272
0.220288,0.218160
0.221188,0.218916
0.221728,0.219324
0.222248,0.220032
0.222788,0.220752
0.223380,0.221280
0.224128,0.221804
0.224856,0.222392
0.225692,0.222932
0.226240,0.223380
0.226748,0.223832
0.227280,0.224120
0.227808,0.224556
0.228240,0.224964
0.228780,0.225376
0.229312,0.225772
0.229724,0.226068
0.230040,0.226300
0.230632,0.226640
0.231124,0.227012
0.231660,0.227328
0.232144,0.227732
0.232708,0.228056
0.233140,0.228344
0.233548,0.228748
0.234056,0.229100
0.234404,0.229484
0.234700,0.229772
0.235184,0.230004
0.235608,0.230256
0.236060,0.230600
0.236432,0.230852
0.236744,0.231232
0.237184,0.231496
0.237360,0.231704
0.237676,0.231956
0.237936,0.232284
0.238292,0.232500
0.238652,0.232728
0.239004,0.232984
0.239328,0.233216
0.239644,0.233400
0.239920,0.233688
0.240292,0.233848
0.240508,0.233988
0.240876,0.234296
0.241132,0.234496
0.241324,0.234756
0.241492,0.234896
0.241796,0.235184
0.241940,0.235300
0.242188,0.235576
0.242420,0.235804
0.242656,0.235900
0.242852,0.236180
0.243016,0.236304
0.243300,0.236412
0.243600,0.236544
0.243840,0.236800
0.243988,0.236996
0.244176,0.237108
0.244452,0.237232
0.244716,0.237504
0.244836,0.237672
0.245060,0.237812
0.245256,0.237952
0.245468,0.238116
0.245716,0.238200
0.245832,0.238332
0.246100,0.238444
0.246300,0.238600
0.246584,0.238688
0.246776,0.238724
0.247032,0.238856
0.247228,0.239048
0.247444,0.239192
0.247676,0.239288
0.247852,0.239440
0.248064,0.239592
0.248196,0.239764
0.248376,0.239868
0.248488,0.240048
0.248752,0.240224
0.248876,0.240284
0.249092,0.240436
0.249276,0.240584
0.249408,0.240644
0.249532,0.240724
0.249740,0.240800
0.249976,0.240924
0.250176,0.241040
0.250276,0.241156
0.250464,0.241228
0.250624,0.241328
0.250744,0.241492
0.250864,0.241596
0.251016,0.241676
0.251224,0.241756
0.251448,0.241772
0.251600,0.241816
0.251744,0.241912
0.251816,0.242096
0.251964,0.242144
0.252100,0.242272
0.252208,0.242416
0.252284,0.242548
0.252452,0.242608
0.252544,0.242672
