t,R,r
0,0.3169932222222206,-0.0753852067787
1,0.3167746666666651,-0.0740678771334
2,0.31734888888888735,-0.0726293719684
3,0.31752588888888755,-0.0714597042849
4,0.3174016666666652,-0.0702779574816
5,0.3180795555555541,-0.0684793215181
6,0.3179693333333319,-0.0669178445817
7,0.31812555555555394,-0.0659690882897
8,0.31834377777777634,-0.0653462041094
9,0.31856355555555405,-0.0635030144326
10,0.31876499999999863,-0.062689489248
11,0.31913388888888744,-0.0611541029813
12,0.31929622222222076,-0.0598128791821
13,0.3193946666666653,-0.0587787988708
14,0.31958377777777625,-0.0574019394406
15,0.3196816666666652,-0.0561644822908
16,0.32007788888888744,-0.0545990068936
17,0.3199435555555541,-0.0546772429195
18,0.32026822222222073,-0.0536936315229
19,0.32025966666666517,-0.0533647525588
20,0.32025744444444293,-0.0521740197451
21,0.32090499999999866,-0.0513267828222
22,0.3208331111111095,-0.0507306665762
23,0.3211059999999983,-0.0494921880504
24,0.32120866666666503,-0.0483978160623
25,0.3208798888888874,-0.0468419571327
26,0.3215447777777761,-0.0455926080736
27,0.32121377777777615,-0.0443285704955
28,0.3218682222222208,-0.0437082897641
29,0.3217843333333318,-0.0421246481154
30,0.32218266666666534,-0.0409624026647
31,0.3221789999999983,-0.040648141542
32,0.3223209999999984,-0.0394109917712
33,0.3227325555555541,-0.0385833665831
34,0.32289977777777623,-0.0370631513422
35,0.3233127777777761,-0.03595714608
36,0.3234978888888874,-0.0348895601495
37,0.3238858888888873,-0.0336473688733
38,0.3237949999999984,-0.0330765131765
39,0.3242493333333317,-0.0322638579237
40,0.3246935555555541,-0.0312872040487
41,0.32502011111110946,-0.0306025302001
42,0.32506666666666517,-0.029697828466
43,0.32567077777777625,-0.0289021056172
44,0.32587133333333196,-0.0278222277655
45,0.3260259999999985,-0.0263137922373
46,0.3258533333333319,-0.0262691771732
47,0.3265407777777762,-0.0255153706973
48,0.3260171111111095,-0.0243051104929
49,0.3262648888888874,-0.0232778732837
50,0.3263575555555539,-0.0226803533566
51,0.3266584444444428,-0.0215222346624
52,0.32671711111110974,-0.0206822532772
53,0.32680766666666494,-0.0198476077305
54,0.32640633333333174,-0.0193653306711
55,0.3267239999999985,-0.0187062946891
56,0.327619555555554,-0.0179829804123
57,0.32700933333333193,-0.0172756693468
58,0.32774688888888737,-0.016259307259
59,0.32828444444444294,-0.0159358760063
60,0.32810266666666515,-0.0153990614152
61,0.3284248888888874,-0.0150081811235
62,0.3284769999999983,-0.0145421777654
63,0.3285103333333318,-0.0139691042782
64,0.32870588888888724,-0.0131955380156
65,0.3293573333333316,-0.0121163723137
66,0.32976722222222066,-0.0112772829455
67,0.32908322222222053,-0.0107110647872
68,0.32935999999999827,-0.00997763627768
69,0.32951099999999867,-0.00896614967078
70,0.32969199999999826,-0.00860579519389
71,0.3302314444444428,-0.00719413955725
72,0.3302643333333317,-0.00624968864287
73,0.3304172222222206,-0.00475096519239
74,0.33063899999999846,-0.00412302211233
75,0.3306272222222205,-0.00327624221993
76,0.3308823333333317,-0.00143034256132
77,0.33137033333333193,-0.000926632705271
78,0.33151266666666523,-7.2089253609e-05
79,0.3320248888888873,0.000888554531112
80,0.3318968888888875,0.00142548410558
81,0.33183922222222056,0.00185271085888
82,0.3319423333333319,0.00236127899182
83,0.33179111111110965,0.00295345539473
84,0.33216288888888734,0.00381582526669
85,0.33211588888888743,0.00519917231838
86,0.3323041111111097,0.00605712172977
87,0.3321723333333318,0.00687961411732
88,0.3329739999999983,0.00736452171831
89,0.33340455555555415,0.0082930547262
90,0.33298544444444295,0.00872134415242
91,0.33249766666666525,0.00946415827335
92,0.3328327777777761,0.0100522945036
93,0.3330242222222208,0.010786381936
94,0.3338824444444429,0.0111120938973
95,0.33423844444444295,0.0119233740793
96,0.3344038888888873,0.0127916608935
97,0.33412533333333183,0.0129507062307
98,0.33482133333333186,0.0137561104656
99,0.33519488888888754,0.0143061683277
100,0.33526388888888736,0.0154874122788
